lexeme,variants,gen,sg,pl
sabra,sabra,m,sabʁa,sabʁa
sabre,sabre,m,sabʁ,sabʁ
sabretache,sabretache,f,sabʁətaʃ,sabʁətaʃ
sabreur,sabreur,m,sabʁœʁ,sabʁœʁ
sac-poubelle,sac-poubelle,m,sakpubɛl,sakpubɛl
sac,sac,m,sak,sak
saccade,saccade,f,sakad,sakad
saccage,saccage,m,sakaʒ,sakaʒ
saccageur,saccageur,m,sakaʒœʁ,sakaʒœʁ
saccagne,saccagne,f,sakaɲ,sakaɲ
saccharine,saccharine,f,sakaʁin,sakaʁin
saccharomyces,saccharomyces,m,#DEF#,sakaʁOmis
saccharose,saccharose,m,sakaʁoz,sakaʁoz
sacculine,sacculine,f,sakylin,sakylin
sacerdoce,sacerdoce,m,sasɛʁdɔs,sasɛʁdɔs
sachem,sachem,m,saʃɛm,saʃɛm
sachet,sachet,m,saʃɛ,saʃɛ
sacoche,sacoche,f,sakɔʃ,sakɔʃ
sacralisation,sacralisation,f,sakʁalizasjɔ̃,sakʁalizasjɔ̃
sacré-coeur,sacré-coeur,m,sakʁEkœʁ,sakʁEkœʁ
sacre,sacre,m,sakʁ,sakʁ
sacré,sacré,m,sakʁe,sakʁe
sacrement,sacrement,m,sakʁəmɑ̃,sakʁəmɑ̃
sacret,sacret,m,sakʁɛ,sakʁɛ
sacrificateur,sacrificateur,m,sakʁifikatœʁ,sakʁifikatœʁ
sacrifice,sacrifice,m,sakʁifis,sakʁifis
sacrifié,sacrifié,m,sakʁifje,sakʁifje
sacrifiée,sacrifiée,f,sakʁifje,sakʁifje
sacrilège,sacrilège,m,sakʁilɛʒ,sakʁilɛʒ
sacripant,sacripant,m,sakʁipɑ̃,sakʁipɑ̃
sacristain,sacristain,m,sakʁistɛ̃,sakʁistɛ̃
sacristaine,sacristaine,f,sakʁistɛn,sakʁistɛn
sacristie,sacristie,f,sakʁisti,sakʁisti
sacristine,sacristine,f,sakʁistin,sakʁistin
sacrum,sacrum,m,sakʁɔm,sakʁɔm
sadducéen,sadducéen:saducéen,m,sadysEɛ̃,sadysEɛ̃
sadique,sadique,b,sadik,sadik
sadisme,sadisme,m,sadizm,sadizm
sado,sado,b,sado,sado
sadomasochisme,sadomasochisme,m,sadOmazOʃizm,sadOmazOʃizm
sadomasochiste,sadomasochiste,b,sadOmazOʃist,sadOmazOʃist
safari-photo,safari-photo,m,safaʁifOto,safaʁifOto
safari,safari,m,safaʁi,safaʁi
safran,safran,m,safʁɑ̃,safʁɑ̃
saga,saga,f,saga,saga
sagacité,sagacité,f,sagasite,sagasite
sagaie,sagaie,f,sagɛ,sagɛ
sagard,sagard,m,sagaʁ,sagaʁ
sage-femme,sage-femme,f,saʒfam,saʒfam
sage,sage,b,saʒ,saʒ
sagesse,sagesse,f,saʒɛs,saʒɛs
sagette,sagette,f,saʒɛt,saʒɛt
sagittaire,sagittaire,b,saʒitɛʁ,saʒitɛʁ
sagouin,sagouin,m,sagwɛ̃,sagwɛ̃
sagoutier,sagoutier,m,sagutje,sagutje
sagum,sagum,m,sagɔm,sagɔm
saharien,saharien,m,saaʁjɛ̃,saaʁjɛ̃
saharienne,saharienne,f,saaʁjɛn,saaʁjɛn
sahib,sahib,m,saib,saib
saï,saï,m,sai,sai
saie,saie,f,sɛ,sɛ
saignée,saignée,f,sEɲe,sEɲe
saignement,saignement,m,sEɲəmɑ̃,sEɲəmɑ̃
saigneur,saigneur:seigneur,m,sEɲœʁ,sEɲœʁ
saillie,saillie,f,saji,saji
saindoux,saindoux,m,sɛ̃du,sɛ̃du
sainfoin,sainfoin,m,sɛ̃fwɛ̃,sɛ̃fwɛ̃
saint-bernard,saint-bernard,m,sɛ̃bɛʁnaʁ,sɛ̃bɛʁnaʁ
saint-crépin,saint-crépin,m,sɛ̃kʁEpɛ̃,sɛ̃kʁEpɛ̃
saint-cyrien,saint-cyrien,m,sɛ̃siʁjɛ̃,sɛ̃siʁjɛ̃
saint-émilion,saint-émilion,m,sɛ̃tEmiljɔ̃,sɛ̃tEmiljɔ̃
saint-esprit,saint-esprit,m,sɛ̃tEspʁi,sɛ̃tEspʁi
saint-frusquin,saint-frusquin,m,sɛ̃fʁyskɛ̃,sɛ̃fʁyskɛ̃
saint-germain,saint-germain,m,sɛ̃ʒɛʁmɛ̃,sɛ̃ʒɛʁmɛ̃
saint-glinglin,saint-glinglin,f,sɛ̃glɛ̃glɛ̃,sɛ̃glɛ̃glɛ̃
saint-guy,saint-guy,m,sɛ̃gi,sɛ̃gi
saint-honoré,saint-honoré,m,sɛ̃tOnOʁe,sɛ̃tOnOʁe
saint-hubert,saint-hubert,f,sɛ̃tybɛʁ,sɛ̃tybɛʁ
saint-michel,saint-michel,b,sɛ̃miʃɛl,sɛ̃miʃɛl
saint-nectaire,saint-nectaire,m,sɛ̃nEktɛʁ,sɛ̃nEktɛʁ
saint-paulin,saint-paulin,m,sɛ̃pOlɛ̃,sɛ̃pOlɛ̃
saint-père,saint-père,m,sɛ̃pɛʁ,sɛ̃pɛʁ
saint-pierre,saint-pierre,m,sɛ̃pjɛʁ,sɛ̃pjɛʁ
saint-siège,saint-siège,m,sɛ̃sjɛʒ,sɛ̃sjɛʒ
saint-synode,saint-synode,m,sɛ̃sinɔd,sɛ̃sinɔd
saint,saint:sein:seing,m,sɛ̃,sɛ̃
sainte nitouche,sainte nitouche,f,sɛ̃tnituʃ,sɛ̃tnituʃ
sainte,sainte:sainte,f,sɛ̃t,sɛ̃t
sainteté,sainteté,f,sɛ̃təte,sɛ̃təte
saisie-arrêt,saisie-arrêt,f,sEziaʁɛ,sEziaʁɛ
saisie,saisie,f,sEzi,sEzi
saisissement,saisissement,m,sEzisəmɑ̃,sEzisəmɑ̃
saison,saison,f,sEzɔ̃,sEzɔ̃
saisonnier,saisonnier,m,sEzOnje,sEzOnje
saisonnière,saisonnière,f,sEzOnjɛʁ,sEzOnjɛʁ
saké,saké,m,sake,sake
saki,saki,m,saki,saki
sal,sal,m,sal,sal
salacité,salacité,f,salasite,salasite
salade,salade,f,salad,salad
saladier,saladier,m,saladje,saladje
salaire,salaire,m,salɛʁ,salɛʁ
salaison,salaison,f,salEzɔ̃,salEzɔ̃
salam,salam,m,salam,salam
salamalec,salamalec,m,salamalɛk,salamalɛk
salamandre,salamandre,f,salamɑ̃dʁ,salamɑ̃dʁ
salami,salami,m,salami,salami
salanque,salanque,f,salɑ̃k,salɑ̃k
salariat,salariat,m,salaʁja,salaʁja
salarié,salarié,m,salaʁje,salaʁje
salariée,salariée,f,salaʁje,salaʁje
salat,salat,f,sala,sala
salaud,salaud:salop,m,salo,salo
salé,salé,m,sale,sale
saleté,saleté,f,saləte,saləte
saleur,saleur,m,salœʁ,salœʁ
salicaire,salicaire,f,salikɛʁ,salikɛʁ
salicine,salicine,f,salisin,salisin
salicorne,salicorne,f,salikɔʁn,salikɔʁn
salière,salière,f,saljɛʁ,saljɛʁ
saligaud,saligaud,m,saligo,saligo
salin,salin,m,salɛ̃,salɛ̃
saline,saline,f,salin,salin
salinité,salinité,f,salinite,salinite
salissure,salissure,f,salisyʁ,salisyʁ
salivation,salivation,f,salivasjɔ̃,salivasjɔ̃
salive,salive,f,saliv,saliv
saliveur,saliveur,m,salivœʁ,salivœʁ
salle,salle,f,sal,sal
salmigondis,salmigondis,m,salmigɔ̃di,salmigɔ̃di
salmis,salmis,m,salmi,salmi
salmonelle,salmonelle,f,salmOnɛl,salmOnɛl
salmonellose,salmonellose,f,salmOnEloz,salmOnEloz
salmonidé,salmonidé,m,salmOnide,salmOnide
saloir,saloir,m,salwaʁ,salwaʁ
salon,salon,m,salɔ̃,salɔ̃
salonnard,salonnard,m,salOnaʁ,salOnaʁ
salonnier,salonnier,m,salOnje,salOnje
salonnière,salonnière,f,salOnjɛʁ,salOnjɛʁ
saloon,saloon,m,salun,salun
salopard,salopard,m,salOpaʁ,salOpaʁ
salope,salope,f,salɔp,salɔp
saloperie,saloperie,f,salɔpəʁi,salɔpəʁi
salopette,salopette,f,salOpɛt,salOpɛt
salopiau,salopiau:salopiaud:salopiot,m,salOpjo,salOpjo
salpêtre,salpêtre,m,salpɛtʁ,salpɛtʁ
salpêtrière,salpêtrière,f,salpEtʁijɛʁ,salpEtʁijɛʁ
salpicon,salpicon,m,salpikɔ̃,salpikɔ̃
salpingite,salpingite,f,salpɛ̃ʒit,salpɛ̃ʒit
salsa,salsa,f,salsa,salsa
salsepareille,salsepareille,f,salsəpaʁɛj,salsəpaʁɛj
salsifis,salsifis,m,salsifi,salsifi
saltimbanque,saltimbanque,b,saltɛ̃bɑ̃k,saltɛ̃bɑ̃k
salto,salto,m,salto,salto
salubrité,salubrité,f,salybʁite,salybʁite
salueur,salueur,m,salɥœʁ,salɥœʁ
salut,salut,m,saly,saly
salutation,salutation,f,salytasjɔ̃,salytasjɔ̃
salutiste,salutiste,b,salytist,salytist
salvadorien,salvadorien,m,salvadɔʁjɛ̃,salvadɔʁjɛ̃
salvadorienne,salvadorienne,f,salvadɔʁjɛn,salvadɔʁjɛn
salvation,salvation,f,salvasjɔ̃,salvasjɔ̃
salve,salve,f,salv,salv
samara,samara,m,samaʁa,samaʁa
samaritain,samaritain,m,samaʁitɛ̃,samaʁitɛ̃
samaritaine,samaritaine,f,samaʁitɛn,samaʁitɛn
samba,samba,f,sɑ̃ba,sɑ̃ba
sambenito,sambenito,m,sɑ̃bEnito,sɑ̃bEnito
sambo,sambo,m,sambo,sambo
samedi,samedi,m,samədi,samədi
samizdat,samizdat,m,samizda,samizda
sammy,sammy,m,sami,sami
samouraï,samouraï:samurai,m,samuʁaj,samuʁaj
samovar,samovar,m,samOvaʁ,samOvaʁ
samoyède,samoyède,m,samOjɛd,samOjɛd
sampan,sampan,m,sɑ̃pɑ̃,sɑ̃pɑ̃
sampang,sampang,m,sɑ̃pɑ̃ŋ,sɑ̃pɑ̃ŋ
sample,sample,m,sɑ̃pl,sɑ̃pl
sampler,sampler,m,sɑ̃ple,sɑ̃ple
sana,sana,m,sana,sana
sanatorium,sanatorium,m,sanatOʁjɔm,sanatOʁjɔm
sancerre,sancerre,m,sɑ̃sɛʁ,sɑ̃sɛʁ
sanctification,sanctification,f,sɑ̃ktifikasjɔ̃,sɑ̃ktifikasjɔ̃
sanction,sanction,f,sɑ̃ksjɔ̃,sɑ̃ksjɔ̃
sanctuaire,sanctuaire,m,sɑ̃ktɥɛʁ,sɑ̃ktɥɛʁ
sanctus,sanctus,m,sɑ̃ktys,sɑ̃ktys
sandale,sandale,f,sɑ̃dal,sɑ̃dal
sandalette,sandalette,f,sɑ̃dalɛt,sɑ̃dalɛt
sandalier,sandalier,m,sɑ̃dalje,sɑ̃dalje
sanderling,sanderling,m,sɑ̃dɛʁliŋ,sɑ̃dɛʁliŋ
sandiniste,sandiniste,b,sɑ̃dinist,sɑ̃dinist
sandjak,sandjak,m,sɑ̃djak,sɑ̃djak
sandow,sandow,m,sɑ̃do,sɑ̃do
sandre,sandre,m,sɑ̃dʁ,sɑ̃dʁ
sandwich,sandwich:sandwiche,m,sɑ̃dwitʃ,sɑ̃dwitʃ
sang-froid,sang-froid,m,sɑ̃fʁwa,sɑ̃fʁwa
sangle,sangle,f,sɑ̃gl,sɑ̃gl
sanglier,sanglier,m,sɑ̃glije,sɑ̃glije
sanglot,sanglot,m,sɑ̃glo,sɑ̃glo
sangria,sangria,f,sɑ̃gʁija,sɑ̃gʁija
sangsue,sangsue,f,sɑ̃sy,sɑ̃sy
sanguin,sanguin,m,sɑ̃gɛ̃,sɑ̃gɛ̃
sanguine,sanguine,f,sɑ̃gin,sɑ̃gin
sanhédrin,sanhédrin,m,sanEdʁɛ̃,sanEdʁɛ̃
sanie,sanie,f,sani,sani
sanitaire,sanitaire,m,sanitɛʁ,sanitɛʁ
sans-culotte,sans-culotte,m,sɑ̃kylɔt,sɑ̃kylɔt
sans-culottide,sans-culottide,f,sɑ̃kylOtid,sɑ̃kylOtid
sans-façon,sans-façon,m,sɑ̃fasɔ̃,sɑ̃fasɔ̃
sans-faute,sans-faute,m,sɑ̃fot,sɑ̃fot
sans-fil,sans-fil,m,sɑ̃fil,sɑ̃fil
sans-filiste,sans-filiste,m,sɑ̃filist,sɑ̃filist
sans-grade,sans-grade,m,sɑ̃gʁad,sɑ̃gʁad
sans-pareil,sans-pareil,m,sɑ̃paʁɛj,sɑ̃paʁɛj
sanscrit,sanscrit:sanskrit,m,sɑ̃skʁi,sɑ̃skʁi
sansonnet,sansonnet,m,sɑ̃sOnɛ,sɑ̃sOnɛ
santal,santal,m,sɑ̃tal,sɑ̃tal
santé,santé,f,sɑ̃te,sɑ̃te
santiag,santiag,f,sɑ̃tjag,sɑ̃tjag
santoche,santoche,f,sɑ̃tɔʃ,sɑ̃tɔʃ
saoudien,saoudien,m,saudjɛ̃,saudjɛ̃
saoudienne,saoudienne,f,saudjɛn,saudjɛn
saoulard,saoulard:soûlard,m,sulaʁ,sulaʁ
saoulerie,saoulerie:soûlerie,f,suləʁi,suləʁi
sapajou,sapajou,m,sapaʒu,sapaʒu
sape,sape,f,sap,sap
sapement,sapement,m,sapəmɑ̃,sapəmɑ̃
saperlotte,saperlotte,m,sapɛʁlɔt,sapɛʁlɔt
sapeur-pompier,sapeur-pompier,m,sapœʁpɔ̃pje,sapœʁpɔ̃pje
sapeur,sapeur,m,sapœʁ,sapœʁ
saphir,saphir,m,safiʁ,safiʁ
saphisme,saphisme,m,safizm,safizm
sapidité,sapidité,f,sapidite,sapidite
sapience,sapience,f,sapjɑ̃s,sapjɑ̃s
sapin,sapin,m,sapɛ̃,sapɛ̃
sapine,sapine,f,sapin,sapin
sapinette,sapinette,f,sapinɛt,sapinɛt
sapinière,sapinière,f,sapinjɛʁ,sapinjɛʁ
saponaire,saponaire,f,sapOnɛʁ,sapOnɛʁ
saponification,saponification,f,sapOnifikasjɔ̃,sapOnifikasjɔ̃
saponite,saponite,f,sapOnit,sapOnit
sapotille,sapotille,f,sapOtij,sapOtij
sapotillier,sapotillier,m,sapOtije,sapOtije
sar,sar,m,saʁ,saʁ
sara,sara,f,saʁa,saʁa
sarabande,sarabande,f,saʁabɑ̃d,saʁabɑ̃d
sarbacane,sarbacane,f,saʁbakan,saʁbakan
sarcasme,sarcasme,m,saʁkasm,saʁkasm
sarcelle,sarcelle,f,saʁsɛl,saʁsɛl
sarcine,sarcine,f,saʁsin,saʁsin
sarclage,sarclage,m,saʁklaʒ,saʁklaʒ
sarclette,sarclette,f,saʁklɛt,saʁklɛt
sarcleuse,sarcleuse,f,saʁkløz,saʁkløz
sarcloir,sarcloir,m,saʁklwaʁ,saʁklwaʁ
sarcoïdose,sarcoïdose,f,saʁkOidoz,saʁkOidoz
sarcome,sarcome,m,saʁkom,saʁkom
sarcophage,sarcophage,m,saʁkOfaʒ,saʁkOfaʒ
sardane,sardane,f,saʁdan,saʁdan
sarde,sarde,b,saʁd,saʁd
sardine,sardine,f,saʁdin,saʁdin
sardinier,sardinier,m,saʁdinje,saʁdinje
sardoine,sardoine,f,saʁdwan,saʁdwan
sargasse,sargasse,f,saʁgas,saʁgas
sari,sari,m,saʁi,saʁi
sarigue,sarigue,f,saʁig,saʁig
sarin,sarin,m,saʁɛ̃,saʁɛ̃
sarment,sarment,m,saʁmɑ̃,saʁmɑ̃
sarong,sarong,m,saʁɔ̃g,saʁɔ̃g
saroual,saroual,m,saʁwal,saʁwal
sarouel,sarouel,m,saʁwɛl,saʁwɛl
sarracénie,sarracénie,f,saʁasEni,saʁasEni
sarrasin,sarrasin,m,saʁazɛ̃,saʁazɛ̃
sarrasine,sarrasine,f,saʁazin,saʁazin
sarrau,sarrau:sarreau,m,saʁo,saʁo
sarriette,sarriette,f,saʁjɛt,saʁjɛt
sarrois,sarrois,m,saʁwa,saʁwa
sarrussophone,sarrussophone,m,saʁysOfɔn,saʁysOfɔn
sas,sas,m,sas,sas
sashimi,sashimi,m,saʃimi,saʃimi
sassafras,sassafras,m,sasafʁa,sasafʁa
sasseur,sasseur,m,sasœʁ,sasœʁ
satan,satan,m,satɑ̃,satɑ̃
satanisme,satanisme,m,satanizm,satanizm
satellite,satellite,m,satElit,satElit
satellites-espion,satellites-espion,m,satElitEspjɔ̃,satElitEspjɔ̃
sati,sati,m,sati,sati
satiation,satiation,f,sasjasjɔ̃,sasjasjɔ̃
satiété,satiété,f,sasjEte,sasjEte
satin,satin,m,satɛ̃,satɛ̃
satinette,satinette,f,satinɛt,satinɛt
satire,satire,f,satiʁ,satiʁ
satiriste,satiriste,b,satiʁist,satiʁist
satisfaction,satisfaction,f,satisfaksjɔ̃,satisfaksjɔ̃
satisfecit,satisfecit,m,satisfEsit,satisfEsit
satrape,satrape,m,satʁap,satʁap
satrapie,satrapie,f,satʁapi,satʁapi
saturation,saturation,f,satyʁasjɔ̃,satyʁasjɔ̃
saturnales,saturnales,f,satyʁnal,satyʁnal
saturnienne,saturnienne,f,satyʁnjɛn,satyʁnjɛn
saturnisme,saturnisme,m,satyʁnizm,satyʁnizm
satyre,satyre,m,satiʁ,satiʁ
sauce,sauce,f,sos,sos
saucée,saucée,f,sose,sose
saucier,saucier,m,sosje,sosje
saucière,saucière,f,sOsjɛʁ,sOsjɛʁ
sauciflard,sauciflard,m,sOsiflaʁ,sOsiflaʁ
saucisse,saucisse,f,sOsis,sOsis
saucisson,saucisson,m,sOsisɔ̃,sOsisɔ̃
saucissonnage,saucissonnage,m,sOsisOnaʒ,sOsisOnaʒ
sauf-conduit,sauf-conduit,m,sOfkɔ̃dɥi,sOfkɔ̃dɥi
sauge,sauge,f,soʒ,soʒ
saulaie,saulaie,f,sOlɛ,sOlɛ
saule,saule,m,sol,sol
saulnier,saulnier,m,sOnje,sOnje
saumon,saumon,m,sOmɔ̃,sOmɔ̃
saumoneau,saumoneau,m,sOmOno,sOmOno
saumonette,saumonette,f,sOmOnɛt,sOmOnɛt
saumurage,saumurage,m,sOmyʁaʒ,sOmyʁaʒ
saumure,saumure,f,sOmyʁ,sOmyʁ
sauna,sauna,m,sOna,sOna
saunier,saunier,m,sonje,sonje
saunière,saunière,f,sOnjɛʁ,sOnjɛʁ
saupoudrage,saupoudrage,m,sOpudʁaʒ,sOpudʁaʒ
saupoudreur,saupoudreur,m,sOpudʁœʁ,sOpudʁœʁ
saura,saura,m,sOʁa,sOʁa
saurien,saurien,m,sOʁjɛ̃,sOʁjɛ̃
saurin,saurin,m,sOʁɛ̃,sOʁɛ̃
saussaie,saussaie,f,sOsɛ,sOsɛ
saut-de-lit,saut-de-lit,m,sOdəli,sOdəli
saut,saut:sceau:seau:sot,m,so,so
saute-mouton,saute-mouton,m,sOtmutɔ̃,sOtmutɔ̃
saute-ruisseau,saute-ruisseau,m,sOtʁɥiso,sOtʁɥiso
saute,saute,f,sot,sot
sauté,sauté,m,sote,sote
sautelle,sautelle,f,sotɛl,sotɛl
sauterelle,sauterelle,f,sOtəʁɛl,sOtəʁɛl
sauterie,sauterie,f,sotəʁi,sotəʁi
sauternes,sauternes,m,sOtɛʁn,sOtɛʁn
sauteur,sauteur,m,sOtœʁ,sOtœʁ
sauteuse,sauteuse,f,sOtøz,sOtøz
sautillement,sautillement,m,sOtijəmɑ̃,sOtijəmɑ̃
sautoir,sautoir,m,sOtwaʁ,sOtwaʁ
sauton,sauton,m,sOtɔ̃,sOtɔ̃
sauvage,sauvage,b,sOvaʒ,sOvaʒ
sauvageon,sauvageon,m,sOvaʒɔ̃,sOvaʒɔ̃
sauvageonne,sauvageonne,f,sOvaʒɔn,sOvaʒɔn
sauvagerie,sauvagerie,f,sOvaʒəʁi,sOvaʒəʁi
sauvagesse,sauvagesse,f,sOvaʒɛs,sOvaʒɛs
sauvagin,sauvagin,m,sOvaʒɛ̃,sOvaʒɛ̃
sauvagine,sauvagine,f,sOvaʒin,sOvaʒin
sauve-qui-peut,sauve-qui-peut,m,sOvkipø,sOvkipø
sauve,sauve,b,sov,sov
sauvegarde,sauvegarde,f,sOvəgaʁd,sOvəgaʁd
sauvetage,sauvetage,m,sOvətaʒ,sOvətaʒ
sauveté,sauveté,f,sOvəte,sOvəte
sauveteur,sauveteur,m,sOvətœʁ,sOvətœʁ
sauveur,sauveur,m,sOvœʁ,sOvœʁ
sauveuse,sauveuse,f,sovøz,sovøz
sauvignon,sauvignon,m,sOviɲɔ̃,sOviɲɔ̃
savane,savane,f,savan,savan
savant,savant,m,savɑ̃,savɑ̃
savantasse,savantasse,m,savɑ̃tas,savɑ̃tas
savante,savante,f,savɑ̃t,savɑ̃t
savarin,savarin,m,savaʁɛ̃,savaʁɛ̃
savate,savate,f,savat,savat
savetier,savetier,m,savətje,savətje
saveur,saveur,f,savœʁ,savœʁ
savoir-faire,savoir-faire,m,savwaʁfɛʁ,savwaʁfɛʁ
savoir-vivre,savoir-vivre,m,savwaʁvivʁ,savwaʁvivʁ
savoir,savoir,m,savwaʁ,savwaʁ
savon,savon,m,savɔ̃,savɔ̃
savonnage,savonnage,m,savOnaʒ,savOnaʒ
savonnée,savonnée,f,savOne,savOne
savonnerie,savonnerie,f,savɔnəʁi,savɔnəʁi
savonnette,savonnette,f,savOnɛt,savOnɛt
savoyard,savoyard,m,savwajaʁ,savwajaʁ
savoyarde,savoyarde,f,savwajaʁd,savwajaʁd
sax,sax:saxe,m,saks,saks
saxhorn,saxhorn,m,saksɔʁn,saksɔʁn
saxifragacée,saxifragacée,f,saksifʁagase,saksifʁagase
saxifrage,saxifrage,f,saksifʁaʒ,saksifʁaʒ
saxo,saxo,m,sakso,sakso
saxon,saxon,m,saksɔ̃,saksɔ̃
saxonne,saxonne,f,saksɔn,saksɔn
saxophone,saxophone,m,saksOfɔn,saksOfɔn
saxophoniste,saxophoniste,b,saksOfOnist,saksOfOnist
saynète,saynète,f,sEnɛt,sEnɛt
sayon,sayon:seillon,m,sEjɔ̃,sEjɔ̃
sbire,sbire,m,sbiʁ,sbiʁ
scaferlati,scaferlati,m,skafɛʁlati,skafɛʁlati
scalaire,scalaire,m,skalɛʁ,skalɛʁ
scalp,scalp,m,skalp,skalp
scalpel,scalpel,m,skalpɛl,skalpɛl
scalpeur,scalpeur,m,skalpœʁ,skalpœʁ
scampi,scampi,m,skɑ̃pi,skɑ̃pi
scandale,scandale,m,skɑ̃dal,skɑ̃dal
scandinave,scandinave,b,skɑ̃dinav,skɑ̃dinav
scannage,scannage,m,skanaʒ,skanaʒ
scanner,scanner,m,skanɛʁ,skanɛʁ
scanneur,scanneur,m,skanœʁ,skanœʁ
scanning,scanning,m,skaniŋ,skaniŋ
scanographie,scanographie,f,skanOgʁafi,skanOgʁafi
scansion,scansion,f,skɑ̃sjɔ̃,skɑ̃sjɔ̃
scaphandre,scaphandre,m,skafɑ̃dʁ,skafɑ̃dʁ
scaphandrier,scaphandrier,m,skafɑ̃dʁije,skafɑ̃dʁije
scapin,scapin,m,skapɛ̃,skapɛ̃
scapulaire,scapulaire,m,skapylɛʁ,skapylɛʁ
scarabée,scarabée,m,skaʁabe,skaʁabe
scare,scare,m,skaʁ,skaʁ
scarification,scarification,f,skaʁifikasjɔ̃,skaʁifikasjɔ̃
scarlatine,scarlatine,f,skaʁlatin,skaʁlatin
scarole,scarole,f,skaʁɔl,skaʁɔl
scat,scat,m,skat,skat
scatologie,scatologie,f,skatOlOʒi,skatOlOʒi
scatologue,scatologue,m,skatOlɔg,skatOlɔg
scatter,scatter,m,skatœʁ,skatœʁ
scazon,scazon,m,skazɔ̃,skazɔ̃
scélérat,scélérat,m,sElEʁa,sElEʁa
scélérate,scélérate,f,sElEʁat,sElEʁat
scélératesse,scélératesse,f,sElEʁatɛs,sElEʁatɛs
scellage,scellage,m,sElaʒ,sElaʒ
scellé,scellé,m,sEle,sEle
scellement,scellement,m,sɛləmɑ̃,sɛləmɑ̃
scénar,scénar,m,sEnaʁ,sEnaʁ
scénarimage,scénarimage,m,sEnaʁimaʒ,sEnaʁimaʒ
scénario,scénario,m,sEnaʁjo,sEnaʁjo
scénariste,scénariste,b,sEnaʁist,sEnaʁist
scène-clé,scène-clé:scènes-clé,f,sɛnkle,sɛnkle
scenic railway,scenic railway,m,sEnikʁɛlwɛ,sEnikʁɛlwɛ
scénographe,scénographe,b,sEnOgʁaf,sEnOgʁaf
scénographie,scénographie,f,sEnOgʁafi,sEnOgʁafi
scepticisme,scepticisme,m,sEptisizm,sEptisizm
sceptique,sceptique,b,sEptik,sEptik
sceptre,sceptre,m,sɛptʁ,sɛptʁ
schako,schako:shako,m,ʃako,ʃako
schampooing,schampooing:shampoing:shampooing,m,ʃɑ̃pwɛ̃,ʃɑ̃pwɛ̃
schbeb,schbeb,m,ʃbɛb,ʃbɛb
schéma,schéma,m,ʃEma,ʃEma
schématisme,schématisme,m,ʃEmatizm,ʃEmatizm
schème,schème,m,ʃɛm,ʃɛm
schilling,schilling:shilling,m,ʃiliŋ,ʃiliŋ
schisme,schisme,m,ʃizm,ʃizm
schiste,schiste,m,ʃist,ʃist
schizophasie,schizophasie,f,skizOfazi,skizOfazi
schizophrène,schizophrène,b,skizOfʁɛn,skizOfʁɛn
schizophrénie,schizophrénie,f,skizOfʁEni,skizOfʁEni
schlague,schlague,f,ʃlag,ʃlag
schlass,schlass,m,ʃlas,ʃlas
schlem,schlem,m,ʃlɛm,ʃlɛm
schlitte,schlitte,f,ʃlit,ʃlit
schnaps,schnaps,m,ʃnaps,ʃnaps
schnauzer,schnauzer,m,ʃnOzɛʁ,ʃnOzɛʁ
schnick,schnick,m,ʃnik,ʃnik
schnitzel,schnitzel,m,ʃnitzɛl,ʃnitzɛl
schooner,schooner,m,skunœʁ,skunœʁ
schpile,schpile,m,ʃpil,ʃpil
schproum,schproum,m,ʃpʁum,ʃpʁum
schtroumf,schtroumf:schtroumpf,m,ʃtʁumf,ʃtʁumf
schupo,schupo,m,ʃypo,ʃypo
schuss,schuss,m,ʃus,ʃus
sciage,sciage,m,sjaʒ,sjaʒ
sciatique,sciatique,b,sjatik,sjatik
scie,scie,f,si,si
science-fiction,science-fiction,f,sjɑ̃sfiksjɔ̃,sjɑ̃sfiksjɔ̃
science,science,f,sjɑ̃s,sjɑ̃s
sciène,sciène,f,sjɛn,sjɛn
scientificité,scientificité,f,sjɑ̃tifisite,sjɑ̃tifisite
scientifique,scientifique,b,sjɑ̃tifik,sjɑ̃tifik
scientisme,scientisme,m,sjɑ̃tizm,sjɑ̃tizm
scientiste,scientiste,b,sjɑ̃tist,sjɑ̃tist
scientologie,scientologie,f,sjɑ̃tOlOʒi,sjɑ̃tOlOʒi
scientologue,scientologue,b,sjɑ̃tOlɔg,sjɑ̃tOlɔg
scierie,scierie,f,siʁi,siʁi
scieur,scieur:sieur,m,sjœʁ,sjœʁ
scintigraphie,scintigraphie,f,sɛ̃tigʁafi,sɛ̃tigʁafi
scintillation,scintillation,f,sɛ̃tijasjɔ̃,sɛ̃tijasjɔ̃
scintillement,scintillement,m,sɛ̃tijəmɑ̃,sɛ̃tijəmɑ̃
scion,scion,m,sjɔ̃,sjɔ̃
scirpe,scirpe,m,siʁp,siʁp
scission,scission,f,sisjɔ̃,sisjɔ̃
scissiparité,scissiparité,f,sisipaʁite,sisipaʁite
scissure,scissure,f,sisyʁ,sisyʁ
sciure,sciure,f,sjyʁ,sjyʁ
sclérodermie,sclérodermie,f,sklEʁOdɛʁmi,sklEʁOdɛʁmi
sclérose,sclérose,f,sklEʁoz,sklEʁoz
sclérotique,sclérotique,f,sklEʁOtik,sklEʁOtik
scolaire,scolaire,b,skOlɛʁ,skOlɛʁ
scolarisation,scolarisation,f,skOlaʁizasjɔ̃,skOlaʁizasjɔ̃
scolarité,scolarité,f,skOlaʁite,skOlaʁite
scolie,scolie,b,skOli,skOli
